timestamp,passenger_count,trip_distance,total_amount,humidity,pressure,temperature,weather_description,wind_direction,wind_speed
1509843600,49040,79495.39999999915,432022.46999988414,,,,,,
1510956000,34443,61784.8300000003,349880.8699999333,,,,,,
1514710800,11112,18796.65000000008,89977.35000000695,,,,,,
1511071200,4716,14350.399999999992,60322.370000001836,,,,,,
1512532800,2840,8115.579999999995,36927.88999999985,,,,,,
1510660800,23900,40446.38000000023,255358.8099999657,,,,,,
1511085600,23441,36857.54000000008,190586.3099999822,,,,,,
1512234000,30695,50829.20000000041,300023.63999994163,,,,,,
1511607600,21548,33206.70000000023,172560.42999999106,,,,,,
1511863200,22171,37758.84999999993,231352.3699999726,,,,,,
1514426400,4044,7971.2800000000025,37962.799999999865,,,,,,
1509642000,27946,50959.229999999974,330794.9499999476,,,,,,
1511506800,6835,12522.630000000032,60146.90000000258,,,,,,
1511384400,24634,39959.810000000114,219732.78999997358,,,,,,
1512460800,28478,43398.769999999866,279291.7299999597,,,,,,
1511604000,18529,32241.879999999903,156276.59999999794,,,,,,
1512806400,14766,25833.559999999965,128245.75000001016,,,,,,
1510041600,25291,39958.259999999886,249438.2599999657,,,,,,
1510261200,33763,65036.92999999999,368948.5399999331,,,,,,
1510088400,33193,59040.79000000009,326301.0199999432,,,,,,
1510128000,28745,43892.69000000002,280720.0299999565,,,,,,
1510167600,33815,57491.64000000046,353186.9699999369,,,,,,
1509670800,11172,21515.91999999999,107262.97000000693,,,,,,
1513407600,8839,19528.64999999999,90578.90000000519,,,,,,
1511074800,6827,16960.09000000002,75949.78000000364,,,,,,
1510372800,7696,16425.68,76185.84000000397,,,,,,
1510300800,26497,41526.89000000012,256108.57999996265,,,,,,
1509894000,26419,53507.67000000001,282221.4899999576,,,,,,
1511510400,9677,17100.03000000002,83537.86000000522,,,,,,
1509393600,29077,54557.46000000007,283838.6399999545,,,,,,
1514556000,28956,46390.18999999998,267317.7399999518,,,,,,
1513072800,23977,41527.31999999971,261072.2299999645,,,,,,
1511758800,4817,16165.070000000007,71138.50000000202,,,,,,
1509346800,24523,41089.87000000021,233048.7899999702,,,,,,
1511949600,22929,37942.350000000086,241419.99999997122,,,,,,
1514120400,20932,31026.57000000005,165227.15999999532,,,,,,
1230818400,5,11.65,62.13,,,,,,
1513065600,28274,43443.20000000007,274901.5299999626,,,,,,
1526950800,3,5.3100000000000005,29.66,,,,,,
1513656000,2968,9046.999999999998,38906.83,,,,,,
1510596000,33134,52916.229999999705,339121.6099999347,,,,,,
1511276400,27115,46039.11999999987,294403.8399999505,,,,,,
1511820000,21744,46257.15999999973,228542.06999997754,,,,,,
1512133200,26225,48949.490000000245,291287.4199999544,,,,,,
1511676000,4556,16737.24,68306.28000000218,,,,,,
1512165600,35224,61298.36000000031,348528.2499999311,,,,,,
1514210400,16614,30734.719999999965,144635.25000000422,,,,,,
1511593200,6101,14539.350000000037,65660.17000000244,,,,,,
1510480800,24374,42142.1800000002,212302.98999997595,,,,,,
1513566000,2448,6095.809999999998,26444.519999999564,,,,,,
1509739200,34000,57115.1700000001,332104.8799999354,,,,,,
1511290800,30039,49077.7099999998,313716.47999994503,,,,,,
1509217200,36218,54516.10000000022,323807.7799999287,,,,,,
1510441200,33258,53306.429999999884,309573.2299999411,,,,,,
1513699200,24458,42280.96999999987,276028.3299999599,,,,,,
1513814400,17784,36018.180000000044,180826.0299999917,,,,,,
1514250000,3345,7116.599999999995,31853.049999999395,,,,,,
1512871200,18787,33448.30999999994,168389.13999999387,,,,,,
1509825600,30906,46583.74999999983,280784.6599999477,,,,,,
1510164000,33682,55990.400000000234,364858.0099999309,,,,,,
1510146000,25741,48615.38000000002,289288.66999995674,,,,,,
1509537600,24271,41210.45,270667.929999962,,,,,,
1509692400,22931,41340.25000000023,226254.31999997344,,,,,,
1510275600,11618,22147.680000000062,111092.7700000074,,,,,,
1512889200,6773,18559.060000000063,80740.90000000353,,,,,,
1514422800,7060,14156.779999999959,66479.03000000307,,,,,,
1511524800,20166,30745.650000000096,158788.07999999778,,,,,,
1511586000,2984,10130.440000000011,42209.540000000336,,,,,,
1511416800,6303,16984.839999999993,75617.56000000308,,,,,,
1514732400,25569,40011.21000000024,215047.46999997093,,,,,,
1511503200,4530,10202.180000000004,46326.000000000866,,,,,,
1511031600,32238,46651.35000000004,295085.04999994306,,,,,,
1514167200,4273,8109.67,37866.769999999895,,,,,,
1512666000,28695,51748.2100000001,341240.1399999403,,,,,,
1513638000,20190,40990.54000000008,201487.95999998366,,,,,,
1514109600,16874,25996.85999999996,129127.76000001267,,,,,,
1509390000,31610,52077.29999999995,303491.5299999477,,,,,,
1518033600,1,1.8,17.76,,,,,,
1513980000,25785,44005.12000000002,240181.4099999645,,,,,,
1512752400,29973,50100.420000000195,340639.76999994,,,,,,
1511200800,32271,49339.81000000002,323852.05999993737,,,,,,
